dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,num_variates
ett1/D/short,STRIDE (+Chronos-2),42590.79682539683,42590.79682539683,135.1600322420635,1.6149741930896049,1.5698329380580358,0.45427352663070436,10.398847148283753,206.37537843792518,0.5420517770084505,0.3550023079878528,0.27425672487807506,7
ett1/W/short,STRIDE (+Chronos-2),1161606.7142857143,1161606.7142857143,864.0528041294643,1.5575353120636772,0.6863068171909877,0.5626870564052037,8.752575451677162,1077.7786017015342,0.4288738297661152,0.3438272337585108,0.2520830037217689,7
ett2/15T/short,STRIDE (+Chronos-2),6.572922479538691,6.572922479538691,1.6297233944847471,0.7066008061572634,0.10186693032774333,0.12232557024274554,4.675429284413352,2.563771144142685,0.12171133671520092,0.07736876720527358,0.06072502592119046,7
ett2/H/short,STRIDE (+Chronos-2),104.40494791666667,104.40494791666667,6.302604747953869,0.7297701467986009,0.11776522791213295,0.10882631029401507,5.143307050170226,10.21787394307968,0.12959107184491042,0.07993456459260159,0.06373142261390706,7
ett2/D/short,STRIDE (+Chronos-2),104584.88888888889,104584.88888888889,194.42480158730157,1.3307703924805205,0.460210212828621,0.13472860427129837,10.94899796424016,323.3958702409307,0.18508796803310987,0.11127443103780135,0.09173043263284154,7
ett2/W/short,STRIDE (+Chronos-2),3307510.8571428573,3307510.8571428573,1288.780552455357,0.9396971135006266,0.14778428418295725,0.15742436477116176,7.8246577714068355,1818.6563328850389,0.152557356062922,0.10810890989833292,0.08778462012652619,7
jena_weather/10T/short,STRIDE (+Chronos-2),792.1694444444445,792.1694444444445,5.645661659846231,0.3064988260768445,0.48337475820945536,0.5485325888981895,2.6732713536141577,28.14550487101705,0.1748188740776754,0.035066637437161506,0.028401856650271864,21
jena_weather/H/short,STRIDE (+Chronos-2),1189.235066833751,1189.235066833751,9.55188100459482,0.568776630183965,3.2512505066600967,0.6140290198967471,4.86298583019715,34.48528768668968,0.21139261038169294,0.058552420323753254,0.04722329398164203,21
jena_weather/D/short,STRIDE (+Chronos-2),387.12132936507936,387.12132936507936,9.741763547867064,1.0473763254294408,0.7322706296762638,0.44914482964409724,6.770641291207164,19.675399090363562,0.11847806047269066,0.05866133873239368,0.047086065981090025,21
bitbrains_fast_storage/5T/short,STRIDE (+Chronos-2),1899367.2000325578,1899367.2000325578,171.89502728294235,0.7602508237639014,1.4007422885040295,0.7891601285174445,13.461589296926032,1378.1753154198336,4.327129631035291,0.5397078714597728,0.4131778041655745,2
bitbrains_fast_storage/H/short,STRIDE (+Chronos-2),2607316.5965949497,2607316.5965949497,236.4317053057712,1.1039852830059371,1.2479508855216537,0.6013813981551555,18.662673911274883,1614.7187360636372,4.602472906137214,0.6739071601252198,0.5219628404686295,2
bitbrains_rnd/5T/short,STRIDE (+Chronos-2),1788718.103377919,1788718.103377919,131.01493204831345,1.6897355110064876,0.9124521277275542,0.7232226204994789,52.54675216936656,1337.4296629647179,5.472376103897755,0.5360752817502692,0.4310059175745046,2
bitbrains_rnd/H/short,STRIDE (+Chronos-2),1572040.4618728955,1572040.4618728955,137.13958337773326,5.410193016192036,1.008422406861908,0.5609501529383205,194.61308013326223,1253.810377159519,5.48728773231564,0.6001899228082174,0.5145035748406723,2
bizitobs_application/10S/short,STRIDE (+Chronos-2),512455.75111111114,512455.75111111114,390.45659722222223,1.2110393323855846,0.017434620327419704,0.017535071902804903,8.507780908600383,715.8601477321608,0.02760786452324299,0.015058350255238377,0.011603081076192182,2
bizitobs_service/10S/short,STRIDE (+Chronos-2),3240.8312433862434,3240.8312433862434,22.950281498015872,0.8086527484618291,0.07359516446552579,0.06048617973529473,5.630062598342808,56.92829914362665,0.04217430271773294,0.0170023017359525,0.013039646366300776,2
bizitobs_l2c/5T/short,STRIDE (+Chronos-2),18.84101795014881,18.84101795014881,2.879616001674107,0.29440161864987485,0.1636920198129449,0.20338895888555616,2.339905101667438,4.340624142925624,0.14907460258866442,0.09889766930342625,0.0785954640016235,7
