dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/W/short,VISIT-2.0,1536581.429,1536581.429,985.0899833,1.682994439,0.662929399,0.559177807,8.442356271,1239.589218,0.493262136,0.391990816,0.289402173,Energy,7
ett2/15T/short,VISIT-2.0,7.63996117,7.63996117,1.765740386,0.75534014,0.107730088,0.12758067,5.296244542,2.764047968,0.13121919,0.083825978,0.065611255,Energy,7
ett2/D/short,VISIT-2.0,126204.4317,126204.4317,213.796503,1.44922406,0.491209823,0.14179501,13.27734682,355.2526309,0.203320431,0.122361366,0.100795507,Energy,7
ett2/H/short,VISIT-2.0,117.2055804,117.2055804,6.719195266,0.767371872,0.123455444,0.113616326,5.583737733,10.82615261,0.137305738,0.085218091,0.06796597,Energy,7
ett2/W/short,VISIT-2.0,4123111.714,4123111.714,1479.972517,1.137574956,0.187231336,0.215725115,9.172415373,2030.544684,0.170331537,0.124146982,0.098365931,Energy,7
hierarchical_sales/D/short,VISIT-2.0,29.94091308,29.94091308,2.406877358,0.769486126,0.701585244,1.070348672,6.888331334,5.471829044,1.678696554,0.738403319,0.59829202,Sales,1
hierarchical_sales/W/short,VISIT-2.0,447.2700609,447.2700609,8.949959448,0.723742038,0.532360584,0.461729987,6.739534653,21.14876027,0.970949929,0.410897016,0.347335912,Sales,1
hospital/M/short,VISIT-2.0,3568.077358,3568.077358,19.60977225,0.790141906,0.197673083,0.178634053,5.170174469,59.73338562,0.216846061,0.071188027,0.05535533,Healthcare,1
jena_weather/10T/short,VISIT-2.0,892.965377,892.965377,6.058348447,0.292568371,0.390091889,0.550790454,2.348357053,29.88252628,0.185607955,0.03762994,0.0297363,Nature,21
jena_weather/D/short,VISIT-2.0,425.9354167,425.9354167,10.38644438,1.245915436,0.784796958,0.467214917,7.557938251,20.63820284,0.124275713,0.062543371,0.049356298,Nature,21
jena_weather/H/short,VISIT-2.0,1110.569027,1110.569027,8.454191305,0.528745635,1.574014596,0.606813869,4.464877076,33.32520108,0.204281354,0.051823653,0.041873389,Nature,21
kdd_cup_2018/D/short,VISIT-2.0,2952.447104,2952.447104,21.55521893,1.217138419,0.534239947,0.477317925,8.984642636,54.33642521,1.217193583,0.482859777,0.382376722,Nature,1
kdd_cup_2018/H/short,VISIT-2.0,4700.446649,4700.446649,22.65284863,0.94191931,0.822528974,0.500480148,7.314008952,68.55980345,1.435080858,0.474165149,0.37924664,Nature,1
loop_seattle/5T/short,VISIT-2.0,41.39566483,41.39566483,3.423013718,0.543793037,0.092438589,0.073203309,3.980063446,6.433946287,0.110327978,0.05869713,0.046185833,Transport,1
loop_seattle/D/short,VISIT-2.0,19.52540635,19.52540635,2.986604263,0.899348129,0.055215413,0.055160866,8.453696784,4.418756199,0.078969083,0.053374613,0.043932909,Transport,1
loop_seattle/H/short,VISIT-2.0,61.13591569,61.13591569,4.142285915,0.83985536,0.110647362,0.096433051,7.886881659,7.818945945,0.138403294,0.073322673,0.06010646,Transport,1
m4_daily/D/short,VISIT-2.0,389112.265,389112.265,182.436846,3.382169255,0.03903226,0.031564444,25.93917533,623.7886381,0.096358106,0.028181451,0.02234176,Econ/Fin,1
m4_hourly/H/short,VISIT-2.0,2328940.006,2328940.006,274.8660678,0.861561933,0.095283441,0.088342332,7.211947107,1526.0865,0.208344492,0.037525285,0.029630242,Econ/Fin,1
m4_monthly/M/short,VISIT-2.0,1895314.629,1895314.629,566.8537157,0.935413013,0.163943251,0.133325349,7.638779934,1376.704264,0.286126409,0.117811662,0.094057311,Econ/Fin,1
m4_quarterly/Q/short,VISIT-2.0,1818904.323,1818904.323,565.053513,1.17891015,0.116097523,0.103114649,8.985431894,1348.66761,0.225743209,0.094580008,0.075406792,Econ/Fin,1
m4_weekly/W/short,VISIT-2.0,278054.6715,278054.6715,273.9321298,2.114771602,0.06663129,0.065761739,15.74830453,527.3088957,0.096067509,0.049906189,0.03967302,Econ/Fin,1
m4_yearly/A/short,VISIT-2.0,4094726.697,4094726.697,991.3308378,3.728038581,0.181568525,0.166646206,31.66723465,2023.543105,0.324484517,0.158964495,0.127986521,Econ/Fin,1
m_dense/D/short,VISIT-2.0,9499.45037,9499.45037,46.16807581,0.67490012,0.121303233,0.098014074,6.846940964,97.46512387,0.168726546,0.079923768,0.065422905,Transport,1
m_dense/H/short,VISIT-2.0,42697.28,42697.28,87.36873264,0.783980199,0.292225143,0.213348965,9.174520142,206.6332016,0.36651581,0.154970361,0.128685102,Transport,1
restaurant/D/short,VISIT-2.0,140.9337933,140.9337933,7.095296885,0.681146678,0.664130632,0.392755661,4.697815673,11.87155396,0.546356419,0.326542002,0.255800814,Sales,1
saugeen/D/short,VISIT-2.0,1065.861771,1065.861771,12.90627441,2.865388764,0.321762543,0.346443176,48.45462055,32.64753851,1.057461551,0.418037303,0.363948613,Nature,1
saugeen/M/short,VISIT-2.0,447.4009022,447.4009022,13.60927037,0.797406617,0.367432912,0.405755088,12.33312013,21.1518534,0.635042094,0.408591124,0.35727078,Nature,1
saugeen/W/short,VISIT-2.0,1044.100781,1044.100781,16.42695313,1.333006703,0.486668634,0.429375887,17.60971271,32.31254836,0.975381141,0.49586124,0.419846576,Nature,1
