dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,num_variates
loop_seattle/5T/medium,STRIDE (+Timer-S1),69.06357992292311,69.06357992292311,4.734578699952432,0.7540801694795448,0.15022510221499039,0.10887629486335935,6.94097751447247,8.31045004334441,0.14785998300871012,0.08423788392651732,0.06833439258109833,1
loop_seattle/H/medium,STRIDE (+Timer-S1),60.57196796995937,60.57196796995937,4.154303808379591,0.8585334944085192,0.11095863894412392,0.09567009548899805,9.05859210286428,7.7827994943952765,0.1375601110025552,0.07342685539188973,0.06102677960808203,1
sz_taxi/15T/medium,STRIDE (+Timer-S1),16.28189749432425,16.28189749432425,2.735961392394498,0.5340426580711192,8868659270801.9,0.40265262310321515,5.4156043124897595,4.035083331769525,0.3755318264574825,0.2546268550921089,0.20927497023124475,1
m_dense/H/medium,STRIDE (+Timer-S1),32741.231111111112,32741.231111111112,75.05256510416666,0.6477321578385692,0.24092857919580954,0.18765418158637154,8.385099303368,180.94538156888976,0.31482211341940886,0.13058198534150353,0.10874215351259664,1
jena_weather/10T/medium,STRIDE (+Timer-S1),1419.1411255411256,1419.1411255411256,9.790902326839827,0.6002446184051967,0.6774024343444456,0.6586547350620068,6.99805746014277,37.67148955830026,0.2311892618211258,0.06008659354979258,0.049668072125518915,21
jena_weather/H/medium,STRIDE (+Timer-S1),1301.795634920635,1301.795634920635,10.73684585813492,0.7715702473420852,2.512173924938115,0.6847128247457838,9.025315922346246,36.080405137978076,0.22078238125723984,0.06570065903322621,0.05458738111261449,21
bitbrains_fast_storage/5T/medium,STRIDE (+Timer-S1),3079118.650194731,3079118.650194731,244.9555771982742,1.0057936754379921,1.7903581905944213,0.8276032124243475,24.075179912455678,1754.7417616831062,5.33139002981104,0.7442426860399378,0.5965078494182422,2
bitbrains_rnd/5T/medium,STRIDE (+Timer-S1),2253183.846979843,2253183.846979843,145.4025868124984,4.446760248038229,0.4439770824784428,0.7536118297376632,162.200456781103,1501.0609071519527,6.315728523722088,0.6117828134616201,0.5974321112294589,2
bizitobs_application/10S/medium,STRIDE (+Timer-S1),1474307.52,1474307.52,693.7286458333333,1.87226196865596,0.02697858174641927,0.027089948654174804,18.26187973710464,1214.2106571760933,0.047678478871814,0.02724068215647346,0.022877714962395417,2
bizitobs_service/10S/medium,STRIDE (+Timer-S1),6314.018412698412,6314.018412698412,24.925071924603174,0.9250575924814965,0.10066619388640873,0.0728834945436508,10.139693159775696,79.46079796162641,0.05980406190390759,0.018759194251461896,0.015837023809446016,2
